DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1561.658,4258.1812,4261843.0,nan,8.6977,8.6977,1.6243,11.4091,137.9945,1.0,nan,47.3218,8.3614,8.4597,1561.658,0.6171,3.4309,1.0,0.0,0.0138,0.0138,13982.4258,1.9278,8.9859,8.9859,80.746,-197.9449,0.9663,0.9663,0.9943,-1474.288,37.304,0.0134,20.0
1561.682,4292.7446,4292744.5,nan,8.6959,8.6959,1.6258,11.5087,137.6061,1.0,nan,47.3423,8.4901,8.5886,1561.682,0.6046,3.4613,1.0,0.0915,0.0354,0.0354,14083.8076,1.938,9.1829,9.1829,84.5342,-197.9458,0.9127,0.9127,0.9852,-1474.312,37.2437,0.0262,20.0
1561.8104,4530.1377,4532338.5,nan,8.6864,8.6864,1.6237,12.0416,134.0588,1.0,nan,47.4519,9.1783,9.2782,1561.8104,0.5379,3.6471,1.0,0.5809,0.151,0.151,14869.876,1.9925,10.2372,10.2372,104.8011,-197.9578,0.6263,0.6263,0.9365,-1474.4404,36.921,0.0946,20.0
1561.8345,4577.3086,4577309.0,nan,8.6878,8.6878,1.6233,12.2467,133.393,1.0,nan,47.5504,9.4023,9.5039,1561.8345,0.5238,3.682,1.0,2.5645,0.1694,0.1694,15017.417,2.0032,10.5234,10.5234,111.1784,-197.96,0.5758,0.5758,0.9274,-1474.4645,35.8276,0.0926,20.0
1561.9628,4893.5166,4891287.0,nan,8.6954,8.6954,1.6225,13.3386,128.3376,1.0,nan,48.0748,10.5949,10.7057,1561.9628,0.449,3.8341,1.0,13.1245,0.2673,0.2673,16047.5293,2.0604,12.047,12.047,145.1292,-197.9453,0.3065,0.3065,0.8785,-1474.5928,30.007,0.0819,20.0
1561.9868,4950.02,4950020.0,nan,8.699,8.699,1.6224,13.7045,127.3919,1.0,nan,48.0824,10.9111,11.0144,1561.9868,0.4401,3.8625,1.0,13.6574,0.2646,0.2646,16240.2236,2.0689,12.3301,12.3301,152.4612,-197.9426,0.3064,0.3064,0.8775,-1474.6168,29.538,0.0811,20.0
1562.1152,5271.6533,5264759.0,nan,8.7182,8.7182,1.624,15.6619,122.2281,1.0,nan,48.123,12.6025,12.6659,1562.1152,0.3927,3.8686,1.0,16.5082,0.2504,0.2504,17272.832,2.114,13.8451,13.8451,191.6874,-197.9302,0.3054,0.3054,0.8716,-1474.7452,27.029,0.0765,20.0
1562.1392,5323.5884,5323588.5,nan,8.7208,8.7208,1.6243,16.0088,121.2629,1.0,nan,47.9408,12.8746,12.9042,1562.1392,0.387,3.8697,1.0,16.9331,0.2501,0.2501,17465.8418,2.118,13.9912,13.9912,195.8692,-197.9279,0.3057,0.3057,0.8709,-1474.7692,26.6299,0.0765,20.0
1562.2676,5560.3271,5553367.0,nan,8.7349,8.7349,1.6383,17.8647,117.2638,1.0,nan,46.966,14.3304,14.179,1562.2676,0.3568,3.7363,1.0,19.2064,0.2486,0.2486,18219.707,2.1392,14.773,14.773,218.2418,-197.9212,0.3068,0.3068,0.867,-1474.8976,24.495,0.0763,20.0
1562.2916,5596.3164,5596316.5,nan,8.7377,8.7377,1.6409,17.88,116.5163,1.0,nan,46.7236,14.4189,14.2129,1562.2916,0.3542,3.7114,1.0,19.8418,0.2499,0.2499,18360.6172,2.1393,14.7762,14.7762,218.3347,-197.92,0.3066,0.3066,0.8667,-1474.9216,24.2898,0.0766,20.0
